Category,Feature,Description,Status,Differentiator
Safety,Per-Directory Command Allowlist,Scope allowed dangerous commands to specific directories,Shipped,No
MCP Permissions,Audit-Only Mode,Allow execution but log unlisted commands for review,Shipped,No
MCP Permissions,Per-Agent Profile Scoping,Restrict MCP profiles to specific AI agents via agentAllowlist,Shipped,No
Clipboard,Clipboard Persistence,History persists across restarts via UserDefaults JSON,Shipped,No
Clipboard,Clipboard Search,Case-insensitive substring search across clipboard history,Shipped,No
Terminal,Hyperlink Protocols,"Detect file://, ssh://, ftp://, sftp:// in addition to http/https",Shipped,No
Scripting,Complete JSON-RPC API,"All 12 methods implemented: tabs, commands, output, snippets, history, settings, status",Shipped,No
Debug,API Analytics Tab,"Per-provider cost, per-tab tokens, aggregate totals in debug console with repo-aware per-tab labels",Shipped,No
Timeline,Activity Density Heatmap,Minimap shows command activity hotspots via bucketed opacity overlay,Shipped,No
Terminal,Unicode Ambiguous-Width,"Per-profile toggle: treat Unicode ambiguous-width chars as 1 or 2 cells (Swift + Rust FFI)",Shipped,No
Networking,TLS/WSS Proxy Support,TLS and WebSocket proxy for Codex OpenAI API capture,Shipped,Yes
Networking,API Proxy Interception,Transparent HTTP/HTTPS proxy for API call capture and analysis,Shipped,Yes
Networking,Configurable Proxy Endpoints,Set custom proxy host and port for API interception,Shipped,No
Remote,iPhone Approval Context,Remote approvals and notifications include repo/branch directory recent command and MCP source notes,Shipped,Yes
Notifications,Cody Normalized Source,"Cody now has a dedicated normalized AI event source with first-class trigger catalog, settings grouping, and timeline/source labels",Shipped,Yes
Notifications,ChatGPT Normalized Source,"ChatGPT now has a dedicated normalized AI event source with first-class trigger catalog, settings grouping, and timeline/source labels",Shipped,Yes
Notifications,Gemini Normalized Source,"Gemini now has a dedicated normalized AI event source with first-class trigger catalog, settings grouping, and timeline/source labels",Shipped,Yes
Runtime,Shell Backend Argv Escaping,Generic shell backend now shell-escapes each JSON-RPC argument to preserve literal argv boundaries,Shipped,Yes
Runtime,Claude Session Identity Routing,Runtime Claude events now bind to exact session IDs and preserve multiple same-directory agent tabs without cwd collisions,Shipped,Yes
Runtime,Claude Ambiguity Fail-Closed,Claude runtime adoption now uses exact tab session metadata first and refuses ambiguous same-repo bindings instead of guessing by cwd,Shipped,Yes
Packaging,Styled Pre-release DMG,"Pre-release DMG builds now default to an Apple Silicon artifact with a styled drag-to-install layout, optional universal helpers, and a single bundled proxy copy",Shipped,Yes
Notifications,Restore Input Suppression,"Restore-time shell maintenance commands stay tagged as system input so waiting-input suppression survives startup, and notification action delegates now return real cross-window success",Shipped,Yes
Notifications,Claude Authoritative Exact Binding,"Authoritative Claude notification events now keep exact runtime/session binding only and fail closed when the owning tab is ambiguous, instead of inheriting heuristic tab resolution",Shipped,Yes
Remote,Issue Intake Landing Page,"issues.chau7.sh now serves a lightweight landing page for browsers while still accepting app-submitted bug reports at the root POST endpoint",Shipped,Yes
Website,Hosted DMG Download CTA,"The compare page now links directly to the hosted Chau7 DMG download, and the shared footer copy reflects the current automated test count",Shipped,No
Localization,About Acknowledgments Copy,"Arabic, French, and Hebrew localizations now include the latest acknowledgments/about stack summary and license summary copy",Shipped,No
Remote,Encrypted Relay Control Frames,Remote relay control frames now require encryption after handshake and push POSTs normalize websocket relay URLs to HTTP(S),Shipped,Yes
Persistence,Stale Window State Cleanup,Termination clears persisted tab/window state and backup files when every overlay window has been hidden or closed,Shipped,Yes
Notifications,Disabled Single-Action Rules,Notification pipeline now checks action enabled state before using the native showNotification fast path,Shipped,Yes
Overlay,Reopen Closed Tab Identity,Closed tabs reopen with their original tab ID, creation timestamp, and repo grouping membership intact,Shipped,Yes
Telemetry,Canonical Run Token Metrics,"Transcript-derived AI runs now persist separate input, cached-input, output, and reasoning-output token fields with validity/source metadata",Shipped,Yes
Telemetry,Transcript Metric Sanitization,"Claude/Codex transcript extraction now slices per run, deduplicates repeated usage blocks, and invalidates implausible historical totals",Shipped,Yes
Debug,Split Analytics Views,"Debug console now separates proxy API-call analytics from transcript-derived AI run telemetry, with explicit cost coverage labeling for missing run pricing",Shipped,Yes
Settings,OpenAI Proxy Routing Toggle,"Proxy settings expose an explicit toggle for routing OpenAI-compatible clients such as Codex through the local analytics proxy",Shipped,Yes
Telemetry,Historical Metrics Repair,"Debug console can rebuild transcript-derived Claude/Codex run metrics in place to repair historical token corruption after parser fixes",Shipped,Yes
Notifications,Codex Hook Preservation,"Codex notify hook installation preserves existing user notify commands, retains authoritative opaque thread IDs, and only disables prompt fallback once Chau7 confirms the hook is installed",Shipped,Yes
Notifications,Codex Tab Identity Correction,"Codex notify-hook events now export the owning overlay tab UUID, and authoritative stale explicit tab IDs are corrected via exact session binding before notification delivery",Shipped,Yes
Notifications,Amazon Q Normalized Source,"Amazon Q now has a dedicated normalized AI event source with first-class trigger catalog, settings grouping, and timeline/source labels",Shipped,Yes
Notifications,Devin Normalized Source,"Devin now has a dedicated normalized AI event source with first-class trigger catalog, settings grouping, and timeline/source labels",Shipped,Yes
Notifications,Goose Normalized Source,"Goose now has a dedicated normalized AI event source with first-class trigger catalog, settings grouping, and timeline/source labels",Shipped,Yes
Notifications,Mentat Normalized Source,"Mentat now has a dedicated normalized AI event source with first-class trigger catalog, settings grouping, and timeline/source labels",Shipped,Yes
Notifications,Amp Normalized Source,"Amp now has a dedicated normalized AI event source with first-class trigger catalog, settings grouping, and timeline/source labels",Shipped,Yes
Debug,Technology Licenses & Acknowledgments,"In-app help page documenting monorepo layout, languages, Rust crates, bundled binaries, third-party dependencies, system frameworks, and notice files",Shipped,No
